Species	Vernacular name	Number	Time	Municipality	Biogeographical Province	Country	WGS84 N	WGS84 E	The stated certainty of the observation	Observation Reliability	Collection
sikurirousku (fi) — Lactarius camphoratus	sikurirousku (fi)	6	2026-07-24	Turku	Varsinais-Suomi (V)	Suomi	60.491	22.297	Sure	NEUTRAL	The Atlas of Finnish Fungi
sikurirousku (fi) — Lactarius camphoratus	sikurirousku (fi)		2026-07-22	Masku, Mynämäki, Nousiainen	Varsinais-Suomi (V)	Suomi	60.7	22.1		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
sikurirousku (fi) — Lactarius camphoratus	sikurirousku (fi)		2026-07-20	Jämsä, Kuhmoinen	Etelä-Häme (EH)	Suomi	61.7	25.1		NEUTRAL	iNaturalist Suomi Finland
sikurirousku (fi) — Lactarius camphoratus	sikurirousku (fi)		2026-07-20	Jämsä, Kuhmoinen	Etelä-Häme (EH)	Suomi	61.7	25.1		NEUTRAL	iNaturalist Suomi Finland
sikurirousku (fi) — Lactarius camphoratus	sikurirousku (fi)		2026-07-15 [16:31-20:42]	Salo	Varsinais-Suomi (V)	Suomi	60.432448	23.077227	Sure	NEUTRAL	The Atlas of Finnish Fungi
sikurirousku (fi) — Lactarius camphoratus	sikurirousku (fi)		2026-07-12	Masku, Mynämäki, Nousiainen	Varsinais-Suomi (V)	Suomi	60.7	22.1		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
sikurirousku (fi) — Lactarius camphoratus	sikurirousku (fi)		2025-10-14	Porvoo	Uusimaa (U)	Suomi	60.35988	25.72263		NEUTRAL	iNaturalist Suomi Finland
sikurirousku (fi) — Lactarius camphoratus	sikurirousku (fi)		2025-10-11 [13:00]	Tampere	Etelä-Häme (EH)	Suomi	61.46593	23.811237	Sure	NEUTRAL	Notebook, general observations
sikurirousku (fi) — Lactarius camphoratus	sikurirousku (fi)		2025-10-05 [16:20-19:55]	Turku	Varsinais-Suomi (V)	Suomi	60.432546	22.164422	Sure	NEUTRAL	Notebook, general observations
sikurirousku (fi) — Lactarius camphoratus	sikurirousku (fi)		2025-10-02	Raasepori	Uusimaa (U)	Suomi	59.943998	23.509586	Sure	NEUTRAL	The Atlas of Finnish Fungi
