Species	Vernacular name	Number	Time	Municipality	Biogeographical Province	Country	WGS84 N	WGS84 E	The stated certainty of the observation	Observation Reliability	Collection
mustatorvisieni (fi) — Craterellus cornucopioides	mustatorvisieni (fi)		2025-09-30	Pyhtää	Uusimaa (U)	Suomi	60.44295	26.75157		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
mustatorvisieni (fi) — Craterellus cornucopioides	mustatorvisieni (fi)		2025-09-29	Vihti	Varsinais-Suomi (V)	Suomi	60.540846	24.556765	Sure	NEUTRAL	The Atlas of Finnish Fungi
mustatorvisieni (fi) — Craterellus cornucopioides	mustatorvisieni (fi)		2025-09-28	Turku	Varsinais-Suomi (V)	Suomi	60.34987	22.22877		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
mustatorvisieni (fi) — Craterellus cornucopioides	mustatorvisieni (fi)		2025-09-28	Espoo	Uusimaa (U)	Suomi	60.29778	24.58444		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
mustatorvisieni (fi) — Craterellus cornucopioides	mustatorvisieni (fi)		2025-09-27	Keminmaa	Perä-Pohjanmaa (PeP)	Suomi	65.815669	24.515999	Sure	NEUTRAL	The Atlas of Finnish Fungi
mustatorvisieni (fi) — Craterellus cornucopioides	mustatorvisieni (fi)		2025-09-27	Nurmijärvi	Uusimaa (U)	Suomi	60.36219	24.77045		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
mustatorvisieni (fi) — Craterellus cornucopioides	mustatorvisieni (fi)		2025-09-27	Keminmaa	Perä-Pohjanmaa (PeP)	Suomi	65.81552	24.514997		NEUTRAL	Fungal collection of the Botanical Museum, University of Oulu (OULU)
mustatorvisieni (fi) — Craterellus cornucopioides	mustatorvisieni (fi)		2025-09-25	Kirkkonummi	Uusimaa (U)	Suomi	60.19594	24.46936		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
mustatorvisieni (fi) — Craterellus cornucopioides	mustatorvisieni (fi)	1	2025-09-25	Raasepori	Varsinais-Suomi (V)	Suomi	60.198576	23.889532		NEUTRAL	LajiGIS: Species mapping and surveys
mustatorvisieni (fi) — Craterellus cornucopioides	mustatorvisieni (fi)		2025-09-21	Espoo	Uusimaa (U)	Suomi	60.31902	24.68047		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
mustatorvisieni (fi) — Craterellus cornucopioides	mustatorvisieni (fi)		2025-09-21	Helsinki	Uusimaa (U)	Suomi	60.26546	24.91712		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
mustatorvisieni (fi) — Craterellus cornucopioides	mustatorvisieni (fi)	Iso esiinntymä	2025-09-21	Keminmaa	Perä-Pohjanmaa (PeP)	Suomi	65.862738	24.83144		NEUTRAL	Löydös Open Finnish Observation Database
