Species	Vernacular name	Number	Time	Municipality	Biogeographical Province	Country	WGS84 N	WGS84 E	The stated certainty of the observation	Observation Reliability	Collection
lampaankääpä (fi) — Albatrellus ovinus	lampaankääpä (fi)		2026-08-10	Koski Tl, Marttila, Salo	Varsinais-Suomi (V)	Suomi	60.5	23.1		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
lampaankääpä (fi) — Albatrellus ovinus	lampaankääpä (fi)		2026-08-09	Masku, Mynämäki, Nousiainen, Pöytyä, Rusko, Turku	Satakunta (St), Varsinais-Suomi (V)	Suomi	60.7	22.3		NEUTRAL	iNaturalist Suomi Finland
lampaankääpä (fi) — Albatrellus ovinus	lampaankääpä (fi)		2026-08-08	Somero	Etelä-Häme (EH)	Suomi	60.50828	23.70311		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
lampaankääpä (fi) — Albatrellus ovinus	lampaankääpä (fi)		2026-08-08	Vantaa	Uusimaa (U)	Suomi	60.26013	24.84365		NEUTRAL	iNaturalist Suomi Finland
lampaankääpä (fi) — Albatrellus ovinus	lampaankääpä (fi)		2026-08-01	Turku	Varsinais-Suomi (V)	Suomi	60.39198	22.24238		NEUTRAL	iNaturalist Suomi Finland
lampaankääpä (fi) — Albatrellus ovinus	lampaankääpä (fi)		2026-07-28	Espoo	Uusimaa (U)	Suomi	60.3239	24.61383		NEUTRAL	iNaturalist Suomi Finland
lampaankääpä (fi) — Albatrellus ovinus	lampaankääpä (fi)		2026-07-24	Masku, Mynämäki, Nousiainen	Varsinais-Suomi (V)	Suomi	60.7	22.1		NEUTRAL	iNaturalist Suomi Finland
lampaankääpä (fi) — Albatrellus ovinus	lampaankääpä (fi)		2026-07-17	Savitaipale	Etelä-Savo (ES)	Suomi	61.19208	27.48658		NEUTRAL	iNaturalist Suomi Finland
lampaankääpä (fi) — Albatrellus ovinus	lampaankääpä (fi)		2026-07-13	Hämeenlinna	Etelä-Häme (EH)	Suomi	61.290148	24.906482		NEUTRAL	Notebook, general observations
lampaankääpä (fi) — Albatrellus ovinus	lampaankääpä (fi)		2026-07-12	Hämeenlinna	Etelä-Häme (EH)	Suomi	61.2902	24.90662		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
lampaankääpä (fi) — Albatrellus ovinus	lampaankääpä (fi)		2026-04-23	Espoo	Uusimaa (U)	Suomi	60.29299	24.56306		NEUTRAL	iNaturalist Suomi Finland
