Species	Vernacular name	Number	Time	Municipality	Biogeographical Province	Country	WGS84 N	WGS84 E	The stated certainty of the observation	Observation Reliability	Collection
korvasieni (fi) — Gyromitra esculenta	korvasieni (fi)		2026-05-08	Pudasjärvi	Oulun Pohjanmaa (OP)	Suomi	65.22902	26.86275		NEUTRAL	iNaturalist Suomi Finland
korvasieni (fi) — Gyromitra esculenta	korvasieni (fi)		2026-05-06	Padasjoki	Etelä-Häme (EH)	Suomi	61.28695	25.35555		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
korvasieni (fi) — Gyromitra esculenta	korvasieni (fi)		2026-05-06	Espoo	Uusimaa (U)	Suomi	60.33174	24.68273		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
korvasieni (fi) — Gyromitra esculenta	korvasieni (fi)		2026-05-06	Helsinki	Uusimaa (U)	Suomi	60.20801	24.91172		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
korvasieni (fi) — Gyromitra esculenta	korvasieni (fi)		2026-05-04	Hämeenlinna	Etelä-Häme (EH)	Suomi	61.2283	25.1876		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
korvasieni (fi) — Gyromitra esculenta	korvasieni (fi)		2026-05-03	Kirkkonummi	Uusimaa (U)	Suomi	60.12951	24.35227		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
korvasieni (fi) — Gyromitra esculenta	korvasieni (fi)		2026-05-03	Parainen	Varsinais-Suomi (V)	Suomi	59.91112	21.76368		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
korvasieni (fi) — Gyromitra esculenta	korvasieni (fi)		2026-05-02	Paimio	Varsinais-Suomi (V)	Suomi	60.41737	22.68832		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
korvasieni (fi) — Gyromitra esculenta	korvasieni (fi)		2026-05-02	Kuopio	Pohjois-Savo (PS)	Suomi	62.90763	27.56314		NEUTRAL	iNaturalist Suomi Finland
korvasieni (fi) — Gyromitra esculenta	korvasieni (fi)		2026-04-26	Kauniainen	Uusimaa (U)	Suomi	60.213289	24.683356	Sure	NEUTRAL	The Atlas of Finnish Fungi
korvasieni (fi) — Gyromitra esculenta	korvasieni (fi)		2026-04-25	Salo	Varsinais-Suomi (V)	Suomi	60.21129	22.93155		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
korvasieni (fi) — Gyromitra esculenta	korvasieni (fi)		2026-04-12	Salo	Varsinais-Suomi (V)	Suomi	60.17691	23.27646		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
korvasieni (fi) — Gyromitra esculenta	korvasieni (fi)		2026-04-12	Espoo	Uusimaa (U)	Suomi	60.33245	24.6697		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
korvasieni (fi) — Gyromitra esculenta	korvasieni (fi)		2026-04-06	Vehmaa	Varsinais-Suomi (V)	Suomi	60.74542	21.75615		NEUTRAL	iNaturalist Suomi Finland
