Species	Vernacular name	Number	Time	Municipality	Biogeographical Province	Country	WGS84 N	WGS84 E	The stated certainty of the observation	Observation Reliability	Collection
karvarousku (fi) — Lactarius torminosus	karvarousku (fi)		2026-09-02	Oulu	Oulun Pohjanmaa (OP)	Suomi	64.97674	25.57031		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
karvarousku (fi) — Lactarius torminosus	karvarousku (fi)		2026-09-02	Jyväskylä	Pohjois-Häme (PH)	Suomi	62.21234	25.74606		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
karvarousku (fi) — Lactarius torminosus	karvarousku (fi)		2026-09-01	Lapinlahti	Pohjois-Savo (PS)	Suomi	63.36205	27.40222		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
karvarousku (fi) — Lactarius torminosus	karvarousku (fi)		2026-09-01	Nurmes	Pohjois-Karjala (PK)	Suomi	63.46791	29.1838		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
karvarousku (fi) — Lactarius torminosus	karvarousku (fi)		2026-09-01	Jyväskylä	Pohjois-Häme (PH)	Suomi	62.36935	25.69585		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
karvarousku (fi) — Lactarius torminosus	karvarousku (fi)		2026-09-01	Helsinki	Uusimaa (U)	Suomi	60.21943	25.03893		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
karvarousku (fi) — Lactarius torminosus	karvarousku (fi)		2026-09-01	Kuopio	Pohjois-Savo (PS)	Suomi	63.17266	27.32592		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
karvarousku (fi) — Lactarius torminosus	karvarousku (fi)		2026-09-01	Kouvola	Etelä-Savo (ES)	Suomi	60.89216	26.78449		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
karvarousku (fi) — Lactarius torminosus	karvarousku (fi)		2026-09-01	Oulu	Oulun Pohjanmaa (OP)	Suomi	65.06211	25.45756		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
karvarousku (fi) — Lactarius torminosus	karvarousku (fi)		2026-09-01	Kouvola	Etelä-Savo (ES)	Suomi	60.89574	26.77754		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
karvarousku (fi) — Lactarius torminosus	karvarousku (fi)		2026-09-01	Oulu	Oulun Pohjanmaa (OP)	Suomi	65.01604	25.43035		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
karvarousku (fi) — Lactarius torminosus	karvarousku (fi)		2026-09-01	Lapinlahti	Pohjois-Savo (PS)	Suomi	63.36193	27.40189		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
karvarousku (fi) — Lactarius torminosus	karvarousku (fi)		2026-09-01	Sievi	Keski-Pohjanmaa (KP)	Suomi	64.00004	24.31208		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
karvarousku (fi) — Lactarius torminosus	karvarousku (fi)		2026-09-01	Oulu	Oulun Pohjanmaa (OP)	Suomi	65.0634	25.45896		NEUTRAL	iNaturalist Suomi Finland
karvarousku (fi) — Lactarius torminosus	karvarousku (fi)		2026-08-31	Tampere	Etelä-Häme (EH)	Suomi	61.51329	23.64115		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
karvarousku (fi) — Lactarius torminosus	karvarousku (fi)		2026-08-31	Oulu	Oulun Pohjanmaa (OP)	Suomi	65.15603	25.30027		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
karvarousku (fi) — Lactarius torminosus	karvarousku (fi)		2026-08-31	Kouvola	Etelä-Savo (ES)	Suomi	60.87509	26.73022		NEUTRAL	iNaturalist Suomi Finland
karvarousku (fi) — Lactarius torminosus	karvarousku (fi)		2026-08-31	Sievi	Keski-Pohjanmaa (KP)	Suomi	63.98543	24.27658		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
