Species	Vernacular name	Number	Time	Municipality	Biogeographical Province	Country	WGS84 N	WGS84 E	The stated certainty of the observation	Observation Reliability	Collection
suppilovahvero (fi) — Craterellus tubaeformis	suppilovahvero (fi)		2025-10-21	Espoo	Uusimaa (U)	Suomi	60.191373	24.554553		NEUTRAL	Kastikka Floristic Archives (H)
suppilovahvero (fi) — Craterellus tubaeformis	suppilovahvero (fi)		2025-10-21	Espoo	Uusimaa (U)	Suomi	60.191504	24.554813		NEUTRAL	Kastikka Floristic Archives (H)
suppilovahvero (fi) — Craterellus tubaeformis	suppilovahvero (fi)		2025-10-21	Espoo	Uusimaa (U)	Suomi	60.191998	24.55676		NEUTRAL	Kastikka Floristic Archives (H)
suppilovahvero (fi) — Craterellus tubaeformis	suppilovahvero (fi)		2025-10-20	Espoo	Uusimaa (U)	Suomi	60.17948	24.72729		COMMUNITY_VERIFIED	iNaturalist Suomi Finland
suppilovahvero (fi) — Craterellus tubaeformis	suppilovahvero (fi)		2025-10-20	Vihti	Varsinais-Suomi (V)	Suomi	60.307587	24.441169		NEUTRAL	Kastikka Floristic Archives (H)
suppilovahvero (fi) — Craterellus tubaeformis	suppilovahvero (fi)		2025-10-20	Vihti	Varsinais-Suomi (V)	Suomi	60.308914	24.442912		NEUTRAL	Kastikka Floristic Archives (H)
suppilovahvero (fi) — Craterellus tubaeformis	suppilovahvero (fi)		2025-10-20	Vihti	Varsinais-Suomi (V)	Suomi	60.316875	24.473246		NEUTRAL	Kastikka Floristic Archives (H)
suppilovahvero (fi) — Craterellus tubaeformis	suppilovahvero (fi)		2025-10-20	Vihti	Varsinais-Suomi (V)	Suomi	60.308636	24.452743		NEUTRAL	Kastikka Floristic Archives (H)
suppilovahvero (fi) — Craterellus tubaeformis	suppilovahvero (fi)		2025-10-20	Vihti	Varsinais-Suomi (V)	Suomi	60.309062	24.443153		NEUTRAL	Kastikka Floristic Archives (H)
suppilovahvero (fi) — Craterellus tubaeformis	suppilovahvero (fi)		2025-10-20	Vihti	Varsinais-Suomi (V)	Suomi	60.31035	24.468193		NEUTRAL	Kastikka Floristic Archives (H)
suppilovahvero (fi) — Craterellus tubaeformis	suppilovahvero (fi)		2025-10-20	Vihti	Varsinais-Suomi (V)	Suomi	60.30725	24.443241		NEUTRAL	Kastikka Floristic Archives (H)
suppilovahvero (fi) — Craterellus tubaeformis	suppilovahvero (fi)		2025-10-20	Vihti	Varsinais-Suomi (V)	Suomi	60.311293	24.469605		NEUTRAL	Kastikka Floristic Archives (H)
suppilovahvero (fi) — Craterellus tubaeformis	suppilovahvero (fi)		2025-10-20	Vihti	Varsinais-Suomi (V)	Suomi	60.310815	24.468574		NEUTRAL	Kastikka Floristic Archives (H)
